Time,Z,Vz
3.28,1084.00039638402,-115.828927959896
3.29,1084.04033114467,-115.196612597563
3.3,1083.96452482056,-114.632195282003
3.3,1083.96452482056,-114.632195282003
3.31,1083.99609239527,-114.010218183278
3.32,1083.94473948947,-113.43799087987
3.32,1083.94473948947,-113.43799087987
3.33,1083.96611143503,-112.827683643095
3.34,1083.90725244882,-112.265802042897
3.34,1083.90725244882,-112.265802042897
3.35,1083.96529434828,-111.64075902713
3.36,1083.87921396645,-111.100119191975
3.36,1083.87921396645,-111.100119191975
3.37,1083.84532516425,-110.532290592773
3.38,1083.77795906618,-109.986391307548
3.38,1083.77795906618,-109.986391307548
3.39,1083.76848666836,-109.410745492179
3.4,1083.65054016759,-108.899065536768
3.4,1083.65054016759,-108.899065536768
3.41,1083.58443502569,-108.361150117273
3.42,1083.51950300488,-107.825008950612
3.42,1083.51950300488,-107.825008950612
3.43,1083.46585428737,-107.285201812904
3.44,1083.38659327274,-106.76235104803
3.44,1083.38659327274,-106.76235104803
3.45,1083.34273280897,-106.22203924761
3.46,1083.25412029499,-105.709970797212
3.46,1083.25412029499,-105.709970797212
3.47,1083.23265314336,-105.162392893243
3.48,1083.13934999203,-104.658394232628
3.48,1083.13934999203,-104.658394232628
3.49,1083.0843745126,-104.135018292248
3.5,1082.95200011332,-103.657987855189
3.5,1082.95200011332,-103.657987855189
3.51,1082.88791150671,-103.145160030875
3.52,1082.79455940279,-102.651124460369
3.52,1082.79455940279,-102.651124460369
3.53,1082.79223808029,-102.107742400671
3.54,1082.65560309435,-101.643391493133
3.54,1082.65560309435,-101.643391493133
3.55,1082.61242889732,-101.128706856563
3.56,1082.58334558058,-100.608521685791
3.56,1082.58334558058,-100.608521685791
3.57,1082.58674549294,-100.072275374266
3.58,1082.54125241849,-99.5666452628079
3.58,1082.54125241849,-99.5666452628079
3.59,1082.3838407886,-99.1271470061101
3.6,1082.31537536057,-98.6393347830722
3.6,1082.31537536057,-98.6393347830722
3.61,1082.24016522815,-98.1581515148308
3.62,1082.11939575102,-97.704994609634
3.62,1082.11939575102,-97.704994609634
3.63,1082.11787500856,-97.1866244910215
3.64,1082.03337060477,-96.7177897150506
3.64,1082.03337060477,-96.7177897150506
3.65,1081.95500751748,-96.2476602182177
3.66,1081.8536974612,-95.7930140062112
3.66,1081.8536974612,-95.7930140062112
3.67,1081.82949865072,-95.2965994919731
3.68,1081.76436932899,-94.8264934522821
3.68,1081.76436932899,-94.8264934522821
3.69,1081.69471487486,-94.3614662517362
3.7,1081.56021147842,-93.9353538115117
3.7,1081.56021147842,-93.9353538115117
3.71,1081.39790926956,-93.5273432247408
3.72,1081.31317635494,-93.0774396936941
3.72,1081.31317635494,-93.0774396936941
3.73,1081.26202050053,-92.6108009967415
3.74,1081.16933787458,-92.1696106558946
3.74,1081.16933787458,-92.1696106558946
3.75,1081.13196373191,-91.6996011774729
3.76,1081.02364314976,-91.2723496066171
3.76,1081.02364314976,-91.2723496066171
3.77,1080.89292017828,-90.8602304473283
3.78,1080.75551945895,-90.4539770111785
3.78,1080.75551945895,-90.4539770111785
3.79,1080.7602589379,-89.9686487252594
3.8,1080.64991681113,-89.5515298231988
3.8,1080.64991681113,-89.5515298231988
3.81,1080.61166059175,-89.0956427634556
3.82,1080.54642861858,-88.6573855812303
3.82,1080.54642861858,-88.6573855812303
3.83,1080.47253839777,-88.2267854975826
3.84,1080.33481841417,-87.8344450046264
3.84,1080.33481841417,-87.8344450046264
3.85,1080.17162634593,-87.4589677539967
3.86,1079.94205193081,-87.1227704188572
3.86,1079.94205193081,-87.1227704188572
3.87,1079.8797743224,-86.692357071048
3.88,1079.7859883472,-86.2825522351359
3.88,1079.7859883472,-86.2825522351359
3.89,1079.67667005523,-85.8838257715335
3.9,1079.51570689137,-85.5167621571152
3.9,1079.51570689137,-85.5167621571152
3.91,1079.4546020106,-85.0944388451558
3.92,1079.33155577675,-84.7097330666998
3.92,1079.33155577675,-84.7097330666998
3.93,1079.23913647609,-84.3098009609495
3.94,1079.11342565181,-83.9303439705354
3.94,1079.11342565181,-83.9303439705354
3.95,1078.98944477935,-83.5522993226286
3.96,1078.79899436794,-83.2138854944813
3.96,1078.79899436794,-83.2138854944813
3.97,1078.60320364643,-82.8804139867307
3.98,1078.44127356977,-82.5293556049634
3.98,1078.44127356977,-82.5293556049634
3.99,1078.30587522314,-82.1650010746734
4,1078.12570907158,-81.8283765243836
4,1078.12570907158,-81.8283765243836
4.01,1078.01912013079,-81.4510840073658
4.02,1077.89218434089,-81.0870468029768
4.02,1077.89218434089,-81.0870468029768
4.03,1077.82722132556,-80.6895618740252
4.04,1077.73691563339,-80.3086708788717
4.04,1077.73691563339,-80.3086708788717
4.05,1077.65835679443,-79.9228969366561
4.06,1077.43509259887,-79.6221680993961
4.06,1077.43509259887,-79.6221680993961
4.07,1077.3281518762,-79.2564170601266
4.08,1077.19562026057,-78.9072337098338
4.08,1077.19562026057,-78.9072337098338
4.09,1077.07985640492,-78.5501141308672
4.1,1076.84045437326,-78.2657741399494
4.1,1076.84045437326,-78.2657741399494
4.11,1076.74174222616,-77.9021138868135
4.12,1076.61455589405,-77.5570294948585
4.12,1076.61455589405,-77.5570294948585
4.13,1076.57439844921,-77.1636406011426
4.14,1076.39079626186,-76.8546243222234
