timestamp,minValue,maxValue,mean,stdDev,nSamples
8685932820,9.09090614,11.5044231,10.5447893,1.04730237,5
8686932824,10.7142868,12.2807026,11.3034248,0.750475228,4
8687932828,9.09090614,12.2807026,10.5391703,1.30901241,5
8688932832,9.09090614,13.0434809,10.8554487,1.41075075,5
8689932840,9.09090614,12.2807026,10.6964855,1.45591807,4
8690932840,9.9099102,11.5044231,10.8694658,0.666192532,5
8691932848,9.09090614,13.0434809,10.6917267,1.57926619,5
8692932856,9.09090614,12.2807026,10.5420189,1.18191195,5
8693932856,9.9099102,13.0434809,11.293025,1.33625472,4
8694932860,9.09090614,12.2807026,10.7000456,1.26088727,5
8695932868,9.09090614,13.0434809,10.533699,1.51587427,5
8696932872,9.09090614,11.5044231,10.2258873,0.916658878,5
8697932876,9.9099102,13.0434809,11.0954914,1.35288572,4
8698932880,9.09090614,12.2807026,10.7028942,1.12787127,5
8699932884,9.09090614,11.5044231,10.5447893,1.04730237,5
8700932888,10.7142868,13.7931051,11.6815252,1.45616329,4
8701932892,9.9099102,11.5044231,10.7085915,0.797262788,5
8702932900,9.09090614,11.5044231,10.3867626,0.917924583,5
8703932904,9.09090614,11.5044231,10.5024157,1.20436144,4
8704932908,9.9099102,12.2807026,11.1799774,1.05711854,5
8705932912,9.9099102,12.2807026,10.7058201,0.96790278,5
8706932916,9.09090614,11.5044231,10.7056656,0.985345721,5
8707932920,10.7142868,13.0434809,11.6916533,0.975156963,4
8708932924,9.09090614,12.2807026,10.5391703,1.30901241,5
8709932932,9.09090614,11.5044231,10.5447893,1.04730237,5
8710932936,9.09090614,11.5044231,10.3867626,0.917924523,5
8711932940,9.9099102,12.2807026,10.9047966,0.992556334,4
8712932944,9.9099102,13.0434809,11.0107832,1.53136516,5
8713932948,9.09090614,12.2807026,10.7000465,1.2608875,5
8714932952,10.7142868,13.0434809,11.4941196,1.09801424,4
8715932960,9.9099102,11.5044231,10.8694658,0.666192472,5
8716932964,9.09090614,13.0434809,10.8554487,1.41075075,5
8717932968,9.09090614,11.5044231,10.5024157,1.20436144,4
