timestamp,mslAltitude,aglAltitude,verticalSpeed,x0,x1,x2
8437646704,1137.68237,4.22241211,-0.099328734,88383.6094,1.06827283,0.76556021
8437666704,1137.66125,4.20129395,-0.116473928,88383.8516,1.25267088,0.810097516
8437686704,1137.5238,4.06384277,-0.21943891,88385.3047,2.36008549,1.09790432
8437706704,1137.50793,4.04797363,-0.230730906,88385.4844,2.48153567,1.1241796
8437726712,1137.64014,4.18017578,-0.128916606,88384.0703,1.38649416,0.828667879
8437746680,1137.69031,4.23034668,-0.0894426778,88383.5234,0.961948335,0.711873472
8437766680,1137.74585,4.28588867,-0.0474353023,88382.9297,0.51015985,0.588331163
8437786680,1137.76428,4.30432129,-0.0336219035,88382.7266,0.361598074,0.545776606
8437806680,1137.63477,4.17480469,-0.133457378,88384.1094,1.43533027,0.828209758
8437826688,1137.62158,4.16162109,-0.143906206,88384.2656,1.54770947,0.853701711
8437846860,1137.65063,4.19067383,-0.119604439,88383.9375,1.28634036,0.779534817
8437866856,1137.56348,4.10351562,-0.187868789,88384.8906,2.02053833,0.971163571
8437886868,1137.53174,4.07177734,-0.212442324,88385.2422,2.2848351,1.03653646
8437906856,1137.81189,4.35192871,0.00691934442,88382.2266,-0.0744160786,0.400461674
8437926860,1137.97571,4.51574707,0.134015784,88380.4609,-1.44128799,0.0326122418
8437946708,1138.24524,4.78527832,0.34262073,88377.5469,-3.68465495,-0.568414867
8437966708,1138.52527,5.06530762,0.55517149,88374.5547,-5.97033119,-1.17819238
8437986708,1138.64417,5.1842041,0.642022252,88373.2734,-6.90424633,-1.42252314
8438006704,1138.54114,5.08117676,0.555200875,88374.3672,-5.97063732,-1.16405308
8438026716,1138.44336,4.98339844,0.471067756,88375.4375,-5.06591845,-0.914485574
8438046680,1138.32446,4.86450195,0.372646719,88376.7109,-4.00753403,-0.624651968
8438066680,1138.26367,4.80371094,0.320934653,88377.3594,-3.45142984,-0.471442163
8438086680,1138.18701,4.72705078,0.25613457,88378.1875,-2.75457072,-0.280951619
8438106680,1138.0127,4.55273438,0.116313092,88380.0547,-1.25089765,0.126492485
8438126688,1137.95459,4.49462891,0.0678300634,88380.6875,-0.729487598,0.266695678
8438146864,1137.9176,4.4576416,0.0373233669,88381.0781,-0.401400626,0.353982896
8438166860,1137.7749,4.31494141,-0.0759746134,88382.6094,0.81709367,0.681893706
8438186864,1137.73792,4.2779541,-0.105465688,88383.0078,1.13426912,0.764127731
8438206860,1137.69299,4.23303223,-0.140569761,88383.4922,1.51181531,0.862355351
8438226864,1137.64539,4.1854248,-0.178160429,88384.0156,1.91610885,0.967390597
8438246708,1137.64014,4.18017578,-0.180979043,88384.0703,1.94642389,0.970369279
8438266708,1137.67712,4.21716309,-0.15051119,88383.6719,1.61873722,0.876022458
8438286708,1137.5741,4.11413574,-0.230557218,88384.7656,2.47965145,1.10545516
8438306708,1137.66919,4.20922852,-0.155186772,88383.7656,1.66902423,0.8787449
8438326716,1137.65601,4.19604492,-0.164617702,88383.9062,1.7704556,0.901592135
8438346684,1137.70618,4.24621582,-0.122879937,88383.3594,1.32156122,0.774279237
8438366684,1137.75635,4.29638672,-0.0817135796,88382.8047,0.878816843,0.649244905
8438386684,1137.80396,4.34399414,-0.0454648659,88382.3125,0.488965362,0.539245486
8438406680,1137.70618,4.24621582,-0.122543789,88383.3438,1.31794584,0.762823701
8438426688,1137.95984,4.49987793,0.0797295868,88380.625,-0.857462168,0.163786978
8438446868,1137.99951,4.53955078,0.110067897,88380.1953,-1.18373477,0.073609814
8438466860,1137.9176,4.4576416,0.0416472219,88381.0938,-0.447902352,0.274695575
8438486864,1137.94666,4.48669434,0.0646658689,88380.7734,-0.695458412,0.205358103
8438506860,1138.22668,4.76672363,0.288897842,88377.7422,-3.10690713,-0.456955075
8438526868,1138.41431,4.9543457,0.434080422,88375.7422,-4.66816521,-0.882799566
8438546708,1138.77893,5.31896973,0.722312152,88371.8047,-7.7675724,-1.72885394
8438566708,1138.96387,5.50390625,0.862192512,88369.8203,-9.27164268,-2.13253498
8438586712,1139.11975,5.65979004,0.976942658,88368.1484,-10.505456,-2.45995641
8438606712,1139.06702,5.60705566,0.923048615,88368.7188,-9.9259634,-2.28704071
8438626716,1138.96655,5.5065918,0.832560897,88369.7891,-8.9529953,-2.00668931
8438646684,1138.7948,5.33483887,0.682903349,88371.6562,-7.34376955,-1.55251825
8438666684,1138.84766,5.38769531,0.717560053,88371.0859,-7.71641827,-1.64663506
8438686684,1138.77625,5.31628418,0.652575135,88371.8359,-7.01763773,-1.44492149
8438706684,1138.53589,5.07592773,0.449624896,88374.4375,-4.8352747,-0.835001528
8438726688,1138.42493,4.96496582,0.354312688,88375.6328,-3.81032753,-0.547534764
8438746868,1138.35095,4.89099121,0.290956169,88376.4141,-3.12900519,-0.356384546
8438766864,1138.22412,4.76416016,0.183045983,88377.7969,-1.96854067,-0.0338213816
8438786872,1138.19763,4.7376709,0.160087541,88378.0625,-1.72164166,0.0346096903
8438806860,1138.12634,4.66638184,0.0990528539,88378.8438,-1.06525934,0.215936765
8438826868,1137.95715,4.49719238,-0.0388625227,88380.6484,0.41795212,0.625117481
8438846712,1137.93335,4.47338867,-0.0598917715,88380.9219,0.644115508,0.684261978
8438866712,1137.87268,4.41271973,-0.107630312,88381.5547,1.15753388,0.82266134
8438886712,1137.72205,4.26208496,-0.229400471,88383.1719,2.46717453,1.18097281
8438906712,1137.68506,4.22509766,-0.2594437,88383.5859,2.79029632,1.26399601
8438926716,1137.6427,4.18273926,-0.29041934,88384.0234,3.12344933,1.34937811
8438946684,1137.57141,4.1114502,-0.347410411,88384.8047,3.73641324,1.51195836
8438966684,1137.61633,4.15637207,-0.307929844,88384.3203,3.31178355,1.38569903
8438986688,1137.72205,4.26208496,-0.219662428,88383.1875,2.36244345,1.11437917
8439006688,1137.64014,4.18017578,-0.285576731,88384.0781,3.07136893,1.30513299
8439026692,1137.66125,4.20129395,-0.265439987,88383.8438,2.85479283,1.23768699
8439046868,1137.83301,4.37304688,-0.122832961,88381.9844,1.32103944,0.804366171
8439066864,1137.78284,4.32287598,-0.165345788,88382.5469,1.77826416,0.927066982
8439086868,1137.75378,4.29382324,-0.186504006,88382.8438,2.00582218,0.985226989
8439106860,1137.97302,4.51306152,-0.00644935295,88380.4844,0.0693603158,0.440704107
8439126868,1138.06812,4.6081543,0.0707966238,88379.4531,-0.761383295,0.206914768
8439146712,1138.3562,4.89624023,0.303219289,88376.375,-3.26088405,-0.490525097
8439166708,1138.66528,5.20532227,0.552207053,88373.0469,-5.93836927,-1.23393083
8439186712,1138.63367,5.17370605,0.520111382,88373.3828,-5.59323406,-1.1308372
8439206712,1138.53589,5.07592773,0.433187813,88374.4453,-4.65851068,-0.863864481
8439226720,1138.42224,4.96228027,0.334876209,88375.6641,-3.6013062,-0.564121425
8439246688,1138.27161,4.81164551,0.208946452,88377.2656,-2.24707246,-0.183060989
8439266688,1138.25574,4.79577637,0.19134897,88377.4531,-2.05782747,-0.129210785
8439286688,1138.25049,4.79052734,0.1839737,88377.5156,-1.97851276,-0.106341049
8439306688,1138.20825,4.74829102,0.147315383,88377.9609,-1.58428359,0.0043741744
8439326692,1138.23462,4.7746582,0.168344274,88377.6562,-1.81043088,-0.058840517
8439346868,1138.25842,4.79846191,0.18299748,88377.4297,-1.96801233,-0.102556713
8439366868,1138.26636,4.80639648,0.187387794,88377.3359,-2.01522565,-0.115183674
8439386868,1138.21082,4.75085449,0.138427511,88377.9375,-1.48870003,0.0327165872
8439406864,1138.14209,4.68212891,0.0800537691,88378.6719,-0.860933304,0.208155468
8439426872,1138.05762,4.59765625,0.0087729888,88379.5859,-0.0943493396,0.421508998
8439446716,1138.11047,4.6505127,0.0530203506,88379,-0.570205688,0.285949558
8439466716,1138.08936,4.62939453,0.0335199162,88379.2422,-0.360489726,0.343067318
8439486716,1137.95715,4.49719238,-0.0759353042,88380.6562,0.816656291,0.670828104
8439506716,1137.8938,4.43383789,-0.128854185,88381.3438,1.38578808,0.826508403
8439526720,1137.89636,4.43640137,-0.124693774,88381.2969,1.34104359,0.809338152
