timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8651167804,28.9286232,90.0316696,0,4
8651187812,28.9286232,88.9473267,0,4
8651207816,28.9286232,88.7301254,0,4
8651227816,28.9286232,88.0246582,0,4
8651247684,28.9286232,88.0246582,0,4
8651267680,28.9286232,86.1048431,0,4
8651287680,28.9286232,86.5207901,0,4
8651307680,28.9286232,88.1465607,0,4
8651327688,28.9286232,88.1094742,0,4
8651347832,28.9286232,88.3260651,0,4
8651367828,28.9286232,87.4307098,0,4
8651387828,28.9286232,87.234108,0,4
8651407828,28.9286232,88.0477524,0,4
8651427832,28.9286232,87.0754166,0,4
8651447816,28.9286232,86.9727783,0,4
8651467808,28.9286232,87.6705704,0,4
8651487816,28.9286232,86.3738861,0,4
8651507812,28.9286232,85.7543335,0,4
8651527816,28.9286232,86.792717,0,4
8651547684,28.9286232,86.792717,0,4
8651567680,28.9286232,86.0444183,0,4
8651587680,28.9286232,86.6702271,0,4
8651607680,28.9286232,87.0701675,0,4
8651627688,28.9286232,88.3424759,0,4
8651647832,28.9286232,89.6085739,0,4
8651667832,28.9286232,88.4112244,0,4
8651687836,28.9286232,88.2802963,0,4
8651707832,28.9286232,89.1178513,0,4
8651727836,28.9286232,88.1506271,0,4
8651747812,28.9286232,87.8110275,0,4
8651767812,28.9286232,87.7410889,0,4
8651787816,28.9286232,86.9769897,0,4
8651807808,28.9286232,87.70047,0,4
8651827816,28.9286232,88.3930206,0,4
8651847680,28.9286232,88.3930206,0,4
8651867684,28.9286232,87.4450684,0,4
8651887688,28.9286232,87.1645737,0,4
8651907684,28.9286232,87.7989502,0,4
8651927688,28.9286232,86.6238632,0,4
8651947840,28.9286232,87.119606,0,4
8651967832,28.9286232,85.9953232,0,4
8651987836,28.9286232,86.200058,0,4
8652007832,28.9286232,87.8100433,0,4
8652027840,28.9286232,86.8660355,0,4
8652047816,28.9286232,86.3716202,0,4
8652067812,28.9286232,87.2482452,0,4
8652087820,28.9286232,86.5053711,0,4
8652107808,28.9286232,84.4800034,0,4
8652127816,28.9286232,85.0875778,0,4
8652147684,28.9286232,85.0875778,0,4
8652167684,28.9286232,84.2982178,0,4
8652187684,28.9286232,84.3636246,0,4
8652207684,28.9286232,85.4825439,0,4
8652227688,28.9286232,86.3243408,0,4
8652247836,28.9286232,87.1054153,0,4
8652267832,28.9286232,85.8596344,0,4
8652287840,28.9286232,86.0577621,0,4
8652307836,28.9286232,87.1472015,0,4
8652327840,28.9286232,86.4103622,0,4
8652347816,28.9286232,86.1783142,0,4
8652367812,28.9286232,86.7333221,0,4
8652387816,28.9286232,85.8085327,0,4
8652407816,28.9286232,85.8894958,0,4
8652427816,28.9286232,86.8525238,0,4
8652447688,28.9286232,86.8525238,0,4
8652467684,28.9286232,86.0343094,0,4
8652487688,28.9286232,85.3438416,0,4
8652507688,28.9286232,86.2093735,0,4
8652527692,28.9286232,86.160881,0,4
8652547840,28.9286232,87.7055206,0,4
8652567836,28.9286232,86.453476,0,4
8652587856,28.9286232,87.7869568,0,4
8652607836,28.9286232,88.4602356,0,4
8652627840,28.9286232,87.3822632,0,4
8652647816,28.9286232,87.1540833,0,4
8652667812,28.9286232,88.4343872,0,4
8652687820,28.9286232,87.3762283,0,4
8652707812,28.9286232,84.7740479,0,4
8652727824,28.9286232,85.5255661,0,4
8652747688,28.9286232,85.5255661,0,4
8652767688,28.9286232,84.4917984,0,4
8652787688,28.9286232,84.1285172,0,4
8652807688,28.9286232,86.052803,0,4
8652827692,28.9286232,86.6795654,0,4
8652847836,28.9286232,87.7295532,0,4
8652867836,28.9286232,86.5801773,0,4
8652887836,28.9286232,86.5919266,0,4
